DATE_TIME,PE,VWC,PRECIP,EFF_RAIN
2015-01-26,0.2,49.6,0.0,-0.2
2015-01-27,0.4,46.5,0.0,-0.4
2015-01-28,0.7,46.8,1.57,0.8700000000000001
2015-01-29,0.0,-9999.0,0.1,0.1
2015-01-30,0.0,-9999.0,0.0,0.0
2015-01-31,0.0,-9999.0,5.09,5.09
2015-02-01,0.0,-9999.0,1.2700000000000002,1.2700000000000002
2015-02-02,0.0,-9999.0,0.28,0.28
2015-02-03,0.0,-9999.0,2.0100000000000002,2.0100000000000002
2015-02-04,0.0,-9999.0,2.7,2.7
2015-02-05,0.0,-9999.0,0.66,0.66
2015-02-06,0.0,-9999.0,0.0,0.0
2015-02-07,0.0,-9999.0,0.0,0.0
2015-02-08,0.0,-9999.0,0.0,0.0
2015-02-09,0.0,-9999.0,0.0,0.0
2015-02-10,0.0,-9999.0,0.05,0.05
2015-02-11,0.0,-9999.0,0.0,0.0
2015-02-12,0.0,-9999.0,0.0,0.0
2015-02-13,0.0,-9999.0,0.47,0.47
2015-02-14,0.0,-9999.0,0.22,0.22
2015-02-15,0.0,-9999.0,0.0,0.0
2015-02-16,0.0,-9999.0,1.4200000000000002,1.4200000000000002
2015-02-17,0.0,-9999.0,0.0,0.0
2015-02-18,1.0,53.2,0.0,-1.0
2015-02-19,0.6,50.3,1.5599999999999998,0.9599999999999999
2015-02-20,0.5,52.5,0.0,-0.5
2015-02-21,0.7,47.2,0.0,-0.7
2015-02-22,0.4,50.3,2.14,1.7400000000000002
2015-02-23,1.3,52.3,0.37,-0.93
2015-02-24,0.8,48.1,0.6500000000000001,-0.1499999999999999
2015-02-25,1.1,52.1,2.27,1.17
2015-02-26,0.7,53.9,0.9700000000000002,0.27000000000000024
2015-02-27,1.1,47.5,0.0,-1.1
2015-02-28,1.0,52.7,0.63,-0.37
2015-03-01,1.2,48.2,1.88,0.6799999999999999
2015-03-02,0.8,46.0,1.08,0.28
2015-03-03,1.1,48.4,1.1,0.0
2015-03-04,1.1,48.9,0.0,-1.1
2015-03-05,0.9,48.3,0.0,-0.9
2015-03-06,1.9,50.8,0.0,-1.9
2015-03-07,1.9,47.3,0.0,-1.9
2015-03-08,1.0,48.4,0.0,-1.0
2015-03-09,0.6,47.9,1.7800000000000002,1.1800000000000002
2015-03-10,1.2,47.6,0.0,-1.2
2015-03-11,1.0,45.1,0.8700000000000001,-0.1299999999999999
2015-03-12,1.9,47.3,0.1,-1.7999999999999998
2015-03-13,0.9,51.4,2.4799999999999995,1.5799999999999996
2015-03-14,0.8,46.7,0.0,-0.8
2015-03-15,0.9,47.2,0.0,-0.9
2015-03-16,0.4,44.6,0.0,-0.4
2015-03-17,0.9,47.8,0.13,-0.77
2015-03-18,0.5,49.6,0.05,-0.45
2015-03-19,0.6,50.7,0.0,-0.6
2015-03-20,1.2,48.7,0.0,-1.2
2015-03-21,1.2,45.4,0.0,-1.2
2015-03-22,1.3,45.8,0.0,-1.3
2015-03-23,1.1,46.3,0.0,-1.1
2015-03-24,1.4,43.4,0.94,-0.45999999999999996
2015-03-25,1.6,47.3,0.13,-1.4700000000000002
2015-03-26,1.2,45.8,3.0900000000000003,1.8900000000000003
2015-03-27,1.5,43.2,0.0,-1.5
2015-03-28,1.0,45.4,1.51,0.51
2015-03-29,1.1,46.6,5.140000000000001,4.040000000000001
2015-03-30,1.6,45.0,4.039999999999999,2.439999999999999
2015-03-31,1.8,42.0,1.05,-0.75
2015-04-01,1.6,46.3,0.1,-1.5
2015-04-02,1.9,-9999.0,0.0,-1.9
2015-04-03,0.6,50.3,4.349999999999999,3.7499999999999987
2015-04-04,1.3,48.3,0.0,-1.3
2015-04-05,1.8,51.6,0.0,-1.8
2015-04-06,1.9,52.1,0.0,-1.9
2015-04-07,2.5,46.5,0.0,-2.5
2015-04-08,1.9,47.2,0.0,-1.9
2015-04-09,2.1,45.0,0.0,-2.1
2015-04-10,2.6,44.6,0.0,-2.6
2015-04-11,2.7,44.7,0.37,-2.33
2015-04-12,1.0,43.5,0.9100000000000001,-0.08999999999999986
2015-04-13,2.2,39.4,0.0,-2.2
2015-04-14,2.2,42.3,0.0,-2.2
2015-04-15,0.9,43.7,0.0,-0.9
2015-04-16,1.7,40.5,0.0,-1.7
2015-04-17,2.3,39.1,0.0,-2.3
2015-04-18,2.3,38.1,0.05,-2.25
2015-04-19,1.7,39.5,1.04,-0.6599999999999999
2015-04-20,2.2,40.2,0.0,-2.2
2015-04-21,2.9,38.8,0.0,-2.9
2015-04-22,2.5,35.7,0.0,-2.5
2015-04-23,2.0,35.0,0.0,-2.0
2015-04-24,2.5,35.1,0.0,-2.5
2015-04-25,1.6,35.2,1.8199999999999998,0.21999999999999975
2015-04-26,3.1,33.9,0.0,-3.1
2015-04-27,3.0,33.5,0.36,-2.64
2015-04-28,2.5,32.0,0.12,-2.38
2015-04-29,2.7,32.5,2.0300000000000002,-0.6699999999999999
2015-04-30,2.0,31.8,0.5700000000000001,-1.43
2015-05-01,2.0,32.2,0.0,-2.0
2015-05-02,1.9,31.1,0.13,-1.77
2015-05-03,1.3,36.3,14.639999999999999,13.339999999999998
2015-05-04,2.7,37.0,0.78,-1.9200000000000002
2015-05-05,2.3,43.4,18.449999999999996,16.149999999999995
2015-05-06,1.4,40.4,0.76,-0.6399999999999999
2015-05-07,2.4,42.5,0.0,-2.4
2015-05-08,2.0,41.5,18.669999999999998,16.669999999999998
2015-05-09,1.1,42.9,0.11,-0.9900000000000001
2015-05-10,2.4,44.6,0.0,-2.4
2015-05-11,3.5,43.6,0.0,-3.5
2015-05-12,2.8,43.5,0.6,-2.1999999999999997
2015-05-13,2.2,37.5,0.0,-2.2
2015-05-14,1.3,36.4,0.0,-1.3
2015-05-15,2.9,36.3,0.0,-2.9
